date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,view,condition,grade,yr_built,zipcode,year,house_age,city,typical_levy_rate,area_crime,school_rate,unemployment_rate,travel_time_to_work,median_household_income,total_population,median_age
2014-05-19,565000.0,4,2.25,2110,10698,2.0,0,4,8,1979,98027,2014,44,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-05-19,525000.0,4,1.75,2420,7672,1.0,0,3,8,1979,98027,2014,44,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-05-20,330000.0,3,1.0,1180,43124,1.0,0,4,6,1959,98027,2014,64,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-05-20,785000.0,4,3.5,3070,4684,2.0,0,3,10,2009,98027,2014,14,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-05-21,389999.0,3,2.25,1445,1471,2.0,0,3,7,2003,98027,2014,20,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-05-21,396450.0,3,1.75,1540,12446,1.0,0,5,8,1967,98027,2014,56,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-05-21,429000.0,3,2.5,2420,49928,2.0,0,3,8,1985,98027,2014,38,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-05-21,556000.0,3,3.0,1960,1168,2.0,0,3,9,2007,98027,2014,16,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-05-21,542500.0,5,3.25,3010,1074218,1.5,0,5,8,1931,98027,2014,92,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-05-21,950000.0,5,3.75,5330,6000,2.0,2,3,10,2006,98027,2014,17,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-05-23,440000.0,4,2.5,2560,10400,1.0,0,4,7,1965,98027,2014,58,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-05-27,585000.0,3,1.75,1850,7735,1.0,0,4,8,1983,98027,2014,40,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-05-27,627000.0,3,3.5,2710,3475,2.0,0,3,8,2005,98027,2014,18,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-05-27,527500.0,3,1.75,2310,78844,1.0,0,3,8,1977,98027,2014,46,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-05-30,840000.0,7,4.5,4290,37607,1.5,0,5,10,1982,98027,2014,41,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-06-02,492000.0,3,1.75,2770,39927,1.0,0,4,8,1978,98027,2014,45,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-06-02,391000.0,3,2.25,1410,1290,2.0,0,3,7,2004,98027,2014,19,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-06-02,535000.0,3,2.5,1690,9626,2.0,0,3,8,1984,98027,2014,39,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-06-02,410000.0,4,1.75,1790,11875,1.0,0,4,7,1969,98027,2014,54,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-06-03,770000.0,3,2.5,2430,54059,2.0,0,3,10,1987,98027,2014,36,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-06-03,435000.0,3,1.75,2220,132858,1.0,0,3,7,1988,98027,2014,35,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-06-04,549000.0,4,2.25,2740,88426,2.0,0,3,7,1991,98027,2014,32,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-06-04,520000.0,3,3.25,1540,1487,2.0,0,3,8,2011,98027,2014,12,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-06-04,658588.0,3,2.25,2560,41346,2.0,0,3,10,1986,98027,2014,37,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-06-05,530000.0,4,3.25,4160,35654,2.0,0,3,8,1973,98027,2014,50,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-06-05,240000.0,3,1.0,1150,4825,1.0,0,4,6,1957,98027,2014,66,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-06-05,395000.0,3,1.75,1460,22651,1.0,0,4,7,1961,98027,2014,62,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-06-05,630000.0,4,3.75,4610,40202,1.0,0,4,10,1980,98027,2014,43,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-06-06,471000.0,3,2.5,2030,2805,2.0,0,3,8,2001,98027,2014,22,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-06-06,585000.0,4,2.5,2430,4747,2.0,0,3,8,2008,98027,2014,15,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-06-07,611000.0,6,2.5,3820,53173,1.0,0,4,9,1974,98027,2014,49,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-06-09,525000.0,3,3.0,2470,36445,2.0,0,4,8,1980,98027,2014,43,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-06-10,589900.0,4,4.5,3870,35889,2.0,0,3,10,2001,98027,2014,22,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-06-10,490000.0,3,2.0,2220,10275,2.0,0,3,9,1980,98027,2014,43,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-06-11,535000.0,5,2.25,2520,49222,2.0,0,4,8,1978,98027,2014,45,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-06-12,680000.0,3,2.5,2570,3600,2.5,0,3,9,2007,98027,2014,16,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-06-12,336750.0,2,2.25,1170,1011,2.0,0,3,7,2009,98027,2014,14,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-06-13,379500.0,3,2.25,1410,1287,2.0,0,3,7,2005,98027,2014,18,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-06-14,850000.0,5,2.75,2920,11880,1.0,0,5,8,1968,98027,2014,55,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-06-14,735000.0,4,2.75,2450,4187,2.0,2,3,8,2010,98027,2014,13,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-06-16,963000.0,4,3.5,3280,6603,2.0,0,3,10,2007,98027,2014,16,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-06-16,575000.0,4,2.5,2120,9603,2.0,0,3,8,1985,98027,2014,38,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-06-17,430000.0,3,2.0,1730,9000,1.0,0,3,8,1978,98027,2014,45,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-06-18,620000.0,4,2.5,1910,7683,2.0,0,3,8,1987,98027,2014,36,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-06-18,574950.0,5,3.25,3160,10000,2.0,0,4,8,1980,98027,2014,43,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-06-19,395000.0,4,1.0,1980,10350,1.0,0,4,7,1968,98027,2014,55,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-06-19,2200000.0,5,4.75,5990,10450,2.0,4,3,11,2002,98027,2014,21,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-06-22,439500.0,3,2.5,2050,40003,1.0,0,4,8,1977,98027,2014,46,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-06-23,780000.0,4,3.5,3910,59863,2.0,0,4,10,1987,98027,2014,36,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-06-23,349900.0,3,2.0,2420,38781,1.0,0,5,7,1949,98027,2014,74,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-06-24,362500.0,4,1.75,1450,8450,1.0,0,3,7,1960,98027,2014,63,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-06-24,790000.0,4,3.5,3190,31450,2.0,0,3,9,2010,98027,2014,13,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-06-25,740000.0,4,2.5,3000,10392,2.0,0,3,9,1995,98027,2014,28,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-06-25,599990.0,3,2.25,2680,9162,1.0,0,3,8,1978,98027,2014,45,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-06-26,826000.0,4,2.5,3060,7140,2.0,0,3,9,2006,98027,2014,17,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-06-26,243800.0,3,1.0,1140,27760,1.0,0,4,6,1981,98027,2014,42,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-06-26,782900.0,4,3.25,3060,3898,2.0,0,3,10,2014,98027,2014,9,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-06-26,620000.0,3,2.0,2460,41343,1.0,0,4,8,1988,98027,2014,35,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-06-27,288790.0,4,2.0,1350,942,3.0,0,3,7,2008,98027,2014,15,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-06-27,425000.0,3,1.0,1520,213444,1.5,3,5,8,1988,98027,2014,35,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-06-27,460000.0,4,2.5,2110,35091,1.0,0,4,8,1985,98027,2014,38,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-07-01,500000.0,5,3.25,3130,12087,2.0,0,3,8,1975,98027,2014,48,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-07-01,629800.0,3,2.5,2390,1984,2.0,0,3,8,2008,98027,2014,15,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-07-01,382500.0,3,1.75,1040,9000,1.0,0,4,7,1967,98027,2014,56,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-07-01,850000.0,4,3.25,4350,112750,1.0,0,3,9,2006,98027,2014,17,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-07-02,575000.0,3,1.75,2680,8625,1.0,0,5,8,1974,98027,2014,49,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-07-02,567500.0,3,2.5,2280,2502,2.0,0,3,8,2006,98027,2014,17,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-07-03,399900.0,2,1.75,1410,1005,1.5,0,3,9,2011,98027,2014,12,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-07-04,600000.0,3,2.5,2320,7609,2.0,0,3,8,2003,98027,2014,20,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-07-07,195000.0,2,1.0,1190,27007,1.0,0,4,5,1910,98027,2014,113,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-07-07,420000.0,3,2.25,1620,1075,3.0,0,3,8,2009,98027,2014,14,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-07-07,670000.0,6,3.0,4050,36171,2.0,0,4,8,1970,98027,2014,53,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-07-07,593000.0,3,2.75,1830,1850,2.0,0,3,10,2011,98027,2014,12,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-07-08,550000.0,3,3.5,2490,3582,2.0,0,3,8,2005,98027,2014,18,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-07-08,1049000.0,4,3.75,4740,126759,2.0,0,4,10,1991,98027,2014,32,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-07-08,580000.0,3,2.25,1940,5980,1.0,0,3,7,1987,98027,2014,36,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-07-09,530000.0,3,2.5,1790,3078,2.0,0,3,8,2010,98027,2014,13,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-07-10,695000.0,4,3.5,3310,21050,2.0,0,5,9,1992,98027,2014,31,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-07-10,847700.0,5,3.25,4230,10260,2.0,0,3,10,1996,98027,2014,27,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-07-11,464950.0,4,2.5,2230,64438,1.0,0,4,7,1978,98027,2014,45,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-07-11,380000.0,2,1.0,1470,81021,1.0,0,4,6,1949,98027,2014,74,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-07-11,808900.0,5,2.5,2900,5901,2.0,0,3,9,2006,98027,2014,17,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-07-14,929950.0,3,3.5,3790,10829,2.0,0,3,11,1993,98027,2014,30,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-07-14,580000.0,3,2.5,3200,18750,1.0,0,2,9,1967,98027,2014,56,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-07-14,1520000.0,5,3.5,5930,13288,2.0,2,3,11,1996,98027,2014,27,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-07-14,455000.0,3,1.0,1480,13280,2.5,0,3,6,1940,98027,2014,83,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-07-15,545000.0,3,2.5,2660,20369,2.0,0,3,8,1992,98027,2014,31,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-07-15,575000.0,4,2.5,2550,56628,2.0,0,3,9,2001,98027,2014,22,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-07-16,765000.0,4,2.5,2980,5000,2.0,0,3,10,2006,98027,2014,17,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-07-18,288790.0,3,1.75,1290,1237,2.0,0,3,7,2008,98027,2014,15,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-07-18,255500.0,2,1.0,1440,43560,1.0,0,4,7,1965,98027,2014,58,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-07-18,710000.0,3,2.25,3130,65775,2.0,0,4,8,1978,98027,2014,45,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-07-18,638150.0,4,2.5,2170,7275,1.0,0,3,8,1978,98027,2014,45,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-07-21,668000.0,5,3.5,3990,42436,2.0,0,3,9,2002,98027,2014,21,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-07-22,588000.0,4,2.25,2580,7344,2.0,0,3,8,1977,98027,2014,46,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-07-22,917000.0,4,2.5,3500,10891,2.0,2,3,10,1995,98027,2014,28,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-07-23,530000.0,4,2.5,2370,9601,1.0,0,3,8,1976,98027,2014,47,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-07-23,865000.0,3,3.75,3830,219106,2.0,0,3,9,1977,98027,2014,46,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-07-23,575000.0,3,2.25,2680,100188,2.0,0,4,8,1978,98027,2014,45,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-07-24,905000.0,4,2.5,3520,12193,2.0,0,4,10,1993,98027,2014,30,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-07-24,499900.0,4,3.0,2180,12196,2.0,0,4,7,1968,98027,2014,55,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-07-24,379000.0,5,2.75,3000,25175,1.0,0,4,7,1961,98027,2014,62,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-07-24,825000.0,4,2.25,2770,9340,2.0,0,4,9,1979,98027,2014,44,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-07-25,1238000.0,4,3.5,4670,6000,2.0,3,3,11,2007,98027,2014,16,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-07-25,518000.0,4,2.25,2640,34870,1.0,0,3,8,1977,98027,2014,46,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-07-25,597750.0,4,2.5,2310,9624,2.0,0,3,8,1984,98027,2014,39,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-07-25,890900.0,4,2.5,3420,6233,2.0,0,3,9,2006,98027,2014,17,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-07-28,572000.0,3,2.5,2360,9938,1.0,0,3,8,1987,98027,2014,36,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-07-29,485000.0,5,1.75,2140,43124,1.0,2,4,7,1962,98027,2014,61,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-07-29,820000.0,4,2.5,2920,252648,2.0,0,3,10,2002,98027,2014,21,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-07-30,410000.0,3,1.5,1750,32500,1.0,0,4,7,1966,98027,2014,57,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-07-31,589000.0,3,2.5,2320,5663,2.0,0,3,8,2003,98027,2014,20,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-08-01,483500.0,3,2.5,1670,4308,2.0,0,3,8,2001,98027,2014,22,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-08-04,384500.0,3,2.5,1600,2610,2.0,0,3,8,2005,98027,2014,18,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-08-04,210000.0,3,1.0,1020,6000,1.0,0,3,5,1900,98027,2014,123,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-08-04,616500.0,3,2.5,3580,118047,1.0,0,3,9,1992,98027,2014,31,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-08-06,510000.0,5,2.5,2510,83231,1.0,0,4,7,1975,98027,2014,48,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-08-06,385000.0,4,1.75,1800,10890,1.5,0,4,6,1912,98027,2014,111,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-08-06,550000.0,4,2.75,2230,9460,1.0,0,5,7,1960,98027,2014,63,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-08-06,650000.0,3,2.5,2500,51836,1.0,0,3,9,2013,98027,2014,10,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-08-06,855000.0,5,3.25,3420,5669,2.0,0,3,9,2003,98027,2014,20,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-08-06,430000.0,2,2.5,2420,60984,2.0,0,3,7,2007,98027,2014,16,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-08-07,598500.0,4,2.5,2520,3980,2.0,0,3,8,2005,98027,2014,18,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-08-07,1200000.0,5,3.25,4610,10576,2.0,3,3,11,2006,98027,2014,17,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
